CUSTID,GENDER,DOB,EDATE,AGE,AGEGRP1,AGEGRP2,TV_REG,NGROUP,NEIGHBORHOOD,LCDATE,ORGANICS,BILL,REGION,CLASS,ORGYN,AFFL,LTIME
0000000140,U,16/09/21,23/02/98,76,60-80,70-80,Wales & West,C,16,07/11/94,0,16000,Midlands,Gold,0,10,4
0000000620,U,12/02/49,23/02/98,49,40-60,40-50,Wales & West,D,35,04/06/93,0,6000,Midlands,Gold,0,4,5
0000000868,F,27/11/27,23/02/98,70,60-80,70-80,Wales & West,D,27,02/08/90,1,0.02,Midlands,Silver,1,5,8
0000001120,M,10/04/32,23/02/98,65,60-80,60-70,Midlands,F,51,01/07/91,1,0.01,Midlands,Tin,1,10,7
0000002313,F,21/05/29,23/02/98,68,60-80,60-70,Midlands,A,04,01/03/90,0,0.01,Midlands,Tin,0,11,8
0000002771,U,16/02/26,23/02/98,72,60-80,70-80,N West,D,28,07/11/95,0,20759.81,North,Platinum,0,9,3
0000003131,F,07/10/23,23/02/98,74,60-80,70-80,East,A,03,01/03/90,0,0.01,Midlands,Tin,0,11,8
0000003328,M,03/12/35,23/02/98,62,60-80,60-70,N East,D,32,09/02/94,0,0.01,North,Tin,0,13,5
0000004529,M,07/03/36,23/02/98,62,60-80,60-70,East,F,49,29/06/95,0,2038.76,Midlands,Silver,0,10,3
0000005886,F,24/09/54,23/02/98,43,40-60,40-50,,F,49,17/03/97,1,6000,,Gold,1,14,1
0000007420,F,19/05/37,23/02/98,60,60-80,60-70,N East,F,52,13/05/96,0,11000,North,Gold,0,7,2
0000009814,M,31/12/42,23/02/98,,,,London,C,24,10/11/97,1,5000,South East,Silver,1,5,1
0000010006,F,22/07/46,23/02/98,51,40-60,50-60,Midlands,F,52,10/12/87,0,300,Midlands,Silver,0,9,11
0000010219,F,27/12/33,23/02/98,64,60-80,60-70,S & S East,C,19,01/02/90,0,0.01,South East,Tin,0,6,9
0000010812,F,31/01/61,23/02/98,37,20-40,30-40,London,C,18,28/04/94,2,0.01,South East,Tin,1,16,4
0000011207,M,03/05/43,23/02/98,54,40-60,50-60,Midlands,D,28,23/05/97,0,1420,Midlands,Silver,0,8,1
